"","fips","SCC","Pollutant","Emissions","type","year"
"3427631","40133","2296000000","PM25-PRI",1000.32,"NONPOINT",1999
"381237","13089","10300601","PM25-PRI",1000.5,"POINT",1999
"11048962","12023","2810090000","PM25-PRI",1001.03,"NONPOINT",2005
"3652191","48323","2296000000","PM25-PRI",1001.08,"NONPOINT",1999
"2762167","47157","2610000500","PM25-PRI",1002.21,"NONPOINT",1999
"5138706","48021","2296000000","PM25-PRI",1002.25,"NONPOINT",2002
"10838774","48021","2296000000","PM25-PRI",1002.25,"NONPOINT",2005
"920036","18097","10200602","PM25-PRI",1002.44,"POINT",1999
"4937431","29009","2296000000","PM25-PRI",1002.51,"NONPOINT",2002
"10688534","29009","2296000000","PM25-PRI",1002.51,"NONPOINT",2005
"3355553","40019","2296000000","PM25-PRI",1003.16,"NONPOINT",1999
"1742271","34029","2294000000","PM25-PRI",1003.26,"NONPOINT",1999
"45162471","06065","2230074110","PM25-PRI",1003.68,"ON-ROAD",2008
"4946253","29101","2296000000","PM25-PRI",1003.9,"NONPOINT",2002
"11074179","29101","2296000000","PM25-PRI",1003.9,"NONPOINT",2005
"2927390","27015","2801000003","PM25-PRI",1003.91,"NONPOINT",1999
"1078685","05143","2296000000","PM25-PRI",1004.85,"NONPOINT",1999
"1649583","16057","2296000000","PM25-PRI",1004.97,"NONPOINT",1999
"1539971","06035","2296000000","PM25-PRI",1005.038,"NONPOINT",1999
"10898376","05011","2810090000","PM25-PRI",1005.39,"NONPOINT",2005
"720200","17049","2801000003","PM25-PRI",1005.51,"NONPOINT",1999
"4221226","49025","2810001000","PM25-PRI",1005.81,"NONPOINT",1999
"4385026","53053","2610000500","PM25-PRI",1005.91,"NONPOINT",1999
"4437065","10005","10100202","PM25-PRI",1006.67,"POINT",2002
"15887831","53009","2280003000","PM25-PRI",1006.71,"NON-ROAD",2005
"10420122","42073","10100202","PM25-PRI",1006.87,"POINT",2005
"16949891","17095","2801000003","PM25-PRI",1007.21,"NONPOINT",2008
"17119961","37151","2610030000","PM25-PRI",1007.47,"NONPOINT",2008
"1087019","22007","10200601","PM25-PRI",1008,"POINT",1999
"3326275","35037","2296000000","PM25-PRI",1008.2,"NONPOINT",1999
"4167860","46059","2801000003","PM25-PRI",1008.55,"NONPOINT",1999
"16594761","37155","2610030000","PM25-PRI",1008.9,"NONPOINT",2008
"5067447","40089","2296000000","PM25-PRI",1008.92,"NONPOINT",2002
"10947908","40089","2296000000","PM25-PRI",1008.92,"NONPOINT",2005
"2542922","37155","2801000003","PM25-PRI",1009.33,"NONPOINT",1999
"16479201","48021","2296000000","PM25-PRI",1009.69,"NONPOINT",2008
"10925538","12005","2810090000","PM25-PRI",1011.44,"NONPOINT",2005
"4009608","31155","2296000000","PM25-PRI",1011.61,"NONPOINT",1999
"10632570","01017","2810090000","PM25-PRI",1011.86,"NONPOINT",2005
"44907","25005","10100202","PM25-PRI",1012.027,"POINT",1999
"3904728","29189","2296000000","PM25-PRI",1012.13,"NONPOINT",1999
"4995019","35001","2311020000","PM25-PRI",1012.13,"NONPOINT",2002
"10975533","35001","2311020000","PM25-PRI",1012.13,"NONPOINT",2005
"3709680","48409","2801000003","PM25-PRI",1012.33,"NONPOINT",1999
"16648511","04021","2801000003","PM25-PRI",1012.52,"NONPOINT",2008
"2042403","42071","2801000003","PM25-PRI",1012.7,"NONPOINT",1999
"28083410","21145","10100202","PM25-PRI",1012.84,"POINT",2008
"10566044","40001","2810001000","PM25-PRI",1014.41,"NONPOINT",2005
"3921500","29221","2296000000","PM25-PRI",1015.81,"NONPOINT",1999
"4985805","33003","2104008000","PM25-PRI",1016.29,"NONPOINT",2002
"10663404","33003","2104008000","PM25-PRI",1016.29,"NONPOINT",2005
"16841771","45083","2296000000","PM25-PRI",1016.38,"NONPOINT",2008
"477971","13245","10200601","PM25-PRI",1017.24,"POINT",1999
"2903032","26151","2801000003","PM25-PRI",1017.29,"NONPOINT",1999
"10769201","22031","2810090000","PM25-PRI",1017.31,"NONPOINT",2005
"10932661","01035","2810090000","PM25-PRI",1017.72,"NONPOINT",2005
"4847022","20177","2296000000","PM25-PRI",1017.86,"NONPOINT",2002
"10982124","20177","2296000000","PM25-PRI",1017.86,"NONPOINT",2005
"243283","12033","2294000000","PM25-PRI",1017.96,"NONPOINT",1999
"3475277","48049","2296000000","PM25-PRI",1018.16,"NONPOINT",1999
"5143125","48067","2296000000","PM25-PRI",1019.43,"NONPOINT",2002
"10992512","48067","2296000000","PM25-PRI",1019.43,"NONPOINT",2005
"1299415","19197","2801000003","PM25-PRI",1019.44,"NONPOINT",1999
"5074610","40151","2801500170","PM25-PRI",1019.55,"NONPOINT",2002
"10732305","40151","2801500170","PM25-PRI",1019.55,"NONPOINT",2005
"4535991","28047","10100101","PM25-PRI",1019.56,"POINT",2002
"16497331","39035","2311020000","PM25-PRI",1019.66,"NONPOINT",2008
"706461","17031","2610000500","PM25-PRI",1019.8,"NONPOINT",1999
"2948363","27045","2296000000","PM25-PRI",1020.02,"NONPOINT",1999
"2988973","27105","2801000003","PM25-PRI",1020.16,"NONPOINT",1999
"10992642","04015","2810001000","PM25-PRI",1020.27,"NONPOINT",2005
"202703","01115","2810001000","PM25-PRI",1020.344,"NONPOINT",1999
"5171629","48347","2296000000","PM25-PRI",1020.86,"NONPOINT",2002
"10726125","48347","2296000000","PM25-PRI",1020.86,"NONPOINT",2005
"2973895","27083","2801000003","PM25-PRI",1021.07,"NONPOINT",1999
